Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
210,"{'Temperature': 27.5, 'Humidity': 68.3, 'PM2.5': 0.3999999999999986, 'PM10': 6.199999999999999, 'NO2': 27.0, 'SO2': 9.3, 'CO': 1.12, 'Proximity_to_Industrial_Areas': 11.6, 'Population_Density': 465.0}",Good,Good,"{'PM10 <= -0.65': -0.03996007637118487, '-0.86 < CO <= -0.17': -0.01898960977395131, 'Proximity_to_Industrial_Areas > 0.74': -0.015221859862217389, '-0.75 < Population_Density <= -0.02': -0.010135091767126453, 'PM2.5 <= -0.63': 0.010091782870950281}"
211,"{'Temperature': 25.1, 'Humidity': 53.9, 'PM2.5': 3.0, 'PM10': 10.399999999999999, 'NO2': 15.6, 'SO2': 5.9, 'CO': 0.89, 'Proximity_to_Industrial_Areas': 11.0, 'Population_Density': 201.0}",Good,Good,"{'PM10 <= -0.65': -0.0423016814193377, 'Population_Density <= -0.75': -0.03544882251121961, 'Humidity <= -0.74': -0.030384203711832754, 'CO <= -0.86': -0.029159173651122094, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01846596515582485}"
212,"{'Temperature': 22.2, 'Humidity': 57.5, 'PM2.5': 3.6000000000000014, 'PM10': 5.600000000000001, 'NO2': 16.7, 'SO2': 7.6, 'CO': 0.86, 'Proximity_to_Industrial_Areas': 11.6, 'Population_Density': 460.0}",Good,Good,"{'PM10 <= -0.65': -0.039172795637398304, 'CO <= -0.86': -0.024852823554504102, 'Humidity <= -0.74': -0.022727342483846766, 'PM2.5 <= -0.63': 0.019413520978428054, '-0.75 < Population_Density <= -0.02': -0.01777383824442884}"
213,"{'Temperature': 38.3, 'Humidity': 73.3, 'PM2.5': 15.0, 'PM10': 29.6, 'NO2': 38.1, 'SO2': 14.1, 'CO': 2.32, 'Proximity_to_Industrial_Areas': 4.2, 'Population_Density': 373.0}",Poor,Poor,"{'CO > 0.62': 0.05685639304752409, 'Population_Density <= -0.75': -0.03841182825697764, 'Proximity_to_Industrial_Areas <= -0.84': 0.02980543491145531, 'NO2 > 0.61': 0.02738157687559046, 'Temperature > 0.61': 0.026041633653440407}"
214,"{'Temperature': 35.0, 'Humidity': 72.3, 'PM2.5': 38.4, 'PM10': 47.6, 'NO2': 28.4, 'SO2': 5.5, 'CO': 1.24, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 640.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.10535480386591026, 'Population_Density > 0.68': 0.04496742782142857, 'PM2.5 > 0.25': -0.03768526286153866, 'Temperature > 0.61': 0.030644167768954095, '-0.86 < CO <= -0.17': -0.023465141494993885}"
215,"{'Temperature': 29.3, 'Humidity': 80.3, 'PM2.5': 99.6, 'PM10': 112.3, 'NO2': 22.8, 'SO2': 12.5, 'CO': 1.46, 'Proximity_to_Industrial_Areas': 6.6, 'Population_Density': 486.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11153921199822345, 'PM2.5 > 0.25': -0.041729322306836264, '-0.75 < Population_Density <= -0.02': -0.01865068664192631, '-0.17 < CO <= 0.62': -0.005840772660556255, '-0.71 < NO2 <= -0.14': -0.005121381628696399}"
216,"{'Temperature': 29.4, 'Humidity': 51.6, 'PM2.5': 29.3, 'PM10': 40.2, 'NO2': 27.9, 'SO2': 11.2, 'CO': 1.72, 'Proximity_to_Industrial_Areas': 5.8, 'Population_Density': 591.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11168959968113652, 'PM2.5 > 0.25': -0.033131017207092946, 'Humidity <= -0.74': -0.026812811879717232, '-0.29 < SO2 <= 0.55': -0.00826172971672276, '-0.17 < CO <= 0.62': -0.0059943302242782635}"
217,"{'Temperature': 27.0, 'Humidity': 74.2, 'PM2.5': 3.3999999999999986, 'PM10': 15.0, 'NO2': 33.6, 'SO2': 6.300000000000001, 'CO': 1.39, 'Proximity_to_Industrial_Areas': 10.6, 'Population_Density': 515.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.04027968390902655, 'NO2 > 0.61': 0.034070993389187856, '-0.86 < CO <= -0.17': -0.02173991586256405, 'PM2.5 <= -0.63': 0.0183624037044841, '-0.02 < Population_Density <= 0.68': 0.01378312525207733}"
218,"{'Temperature': 29.7, 'Humidity': 85.8, 'PM2.5': 84.4, 'PM10': 94.4, 'NO2': 26.7, 'SO2': 19.8, 'CO': 1.55, 'Proximity_to_Industrial_Areas': 10.0, 'Population_Density': 744.0}",Poor,Moderate,"{'PM10 > 0.30': 0.10919518402944102, 'Population_Density > 0.68': 0.04212835249039425, 'PM2.5 > 0.25': -0.029087593023648422, 'SO2 > 0.55': 0.028787868210177703, 'Humidity > 0.65': 0.021097899105097653}"
219,"{'Temperature': 17.6, 'Humidity': 46.1, 'PM2.5': 11.3, 'PM10': 15.599999999999998, 'NO2': 14.2, 'SO2': 7.4, 'CO': 0.8999999999999999, 'Proximity_to_Industrial_Areas': 11.7, 'Population_Density': 591.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.030575721724430148, 'CO <= -0.86': -0.027568850215268597, 'Humidity <= -0.74': -0.02721598496072759, 'Temperature <= -0.73': -0.01498684833615291, 'NO2 <= -0.71': -0.013248529765035034}"
220,"{'Temperature': 34.9, 'Humidity': 80.9, 'PM2.5': 21.4, 'PM10': 32.8, 'NO2': 50.8, 'SO2': 16.6, 'CO': 2.11, 'Proximity_to_Industrial_Areas': 3.8, 'Population_Density': 797.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.07007943203785909, 'Population_Density > 0.68': 0.04846841909155211, 'NO2 > 0.61': 0.047682771402728114, 'Proximity_to_Industrial_Areas <= -0.84': 0.04017063014803221, '-0.31 < PM10 <= 0.30': -0.034856028314378604}"
221,"{'Temperature': 19.5, 'Humidity': 48.2, 'PM2.5': 1.0, 'PM10': 7.399999999999999, 'NO2': 18.7, 'SO2': 6.8, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 305.0}",Good,Good,"{'PM10 <= -0.65': -0.035899324985407516, 'CO <= -0.86': -0.028078131361507337, 'Population_Density <= -0.75': -0.026908297105832937, 'Humidity <= -0.74': -0.02571377339758193, 'Temperature <= -0.73': -0.02072938747421568}"
222,"{'Temperature': 32.2, 'Humidity': 79.4, 'PM2.5': 4.0, 'PM10': 11.0, 'NO2': 32.9, 'SO2': 10.9, 'CO': 1.25, 'Proximity_to_Industrial_Areas': 9.5, 'Population_Density': 651.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.0453199952142312, 'PM10 <= -0.65': -0.04354305838486911, 'NO2 > 0.61': 0.033371473211222254, '-0.86 < CO <= -0.17': -0.023648009855600675, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.022715421448256282}"
223,"{'Temperature': 23.0, 'Humidity': 51.2, 'PM2.5': 17.3, 'PM10': 22.3, 'NO2': 13.6, 'SO2': 2.5, 'CO': 0.84, 'Proximity_to_Industrial_Areas': 13.2, 'Population_Density': 444.0}",Good,Good,"{'CO <= -0.86': -0.03256007640053207, '-0.31 < PM10 <= 0.30': -0.028204747100300055, 'Humidity <= -0.74': -0.020830830860772486, 'SO2 <= -0.73': -0.020687627984062457, '-0.75 < Population_Density <= -0.02': -0.01327710674592613}"
224,"{'Temperature': 32.0, 'Humidity': 69.6, 'PM2.5': 8.1, 'PM10': 23.1, 'NO2': 33.8, 'SO2': 7.5, 'CO': 1.48, 'Proximity_to_Industrial_Areas': 10.0, 'Population_Density': 575.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.028013268851792814, 'NO2 > 0.61': 0.022452640939690988, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.016993497460628792, '-0.63 < PM2.5 <= -0.33': 0.015876458538538578, '-0.73 < SO2 <= -0.29': -0.00989230157762612}"
225,"{'Temperature': 25.5, 'Humidity': 59.6, 'PM2.5': 5.599999999999998, 'PM10': 12.0, 'NO2': 11.6, 'SO2': 7.6, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 12.4, 'Population_Density': 582.0}",Good,Good,"{'PM10 <= -0.65': -0.046578342539180355, 'CO <= -0.86': -0.03708093226213203, 'NO2 <= -0.71': -0.01709315356058744, '-0.02 < Population_Density <= 0.68': 0.016453824927840855, '-0.63 < PM2.5 <= -0.33': 0.015621996134224455}"
226,"{'Temperature': 32.5, 'Humidity': 69.6, 'PM2.5': 38.3, 'PM10': 48.2, 'NO2': 33.7, 'SO2': 10.6, 'CO': 1.24, 'Proximity_to_Industrial_Areas': 6.1, 'Population_Density': 358.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11528323617633446, 'PM2.5 > 0.25': -0.03939747013147479, 'Population_Density <= -0.75': -0.03724165427558961, 'NO2 > 0.61': 0.031112594163333708, '-0.86 < CO <= -0.17': -0.02564362493403973}"
227,"{'Temperature': 38.1, 'Humidity': 80.9, 'PM2.5': 20.4, 'PM10': 53.0, 'NO2': 39.5, 'SO2': 26.8, 'CO': 2.27, 'Proximity_to_Industrial_Areas': 3.2, 'Population_Density': 613.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13893269928992444, 'CO > 0.62': 0.06936443305667536, 'Population_Density > 0.68': 0.06318861823005135, 'Proximity_to_Industrial_Areas <= -0.84': 0.044115981303595356, 'SO2 > 0.55': 0.03668348419252636}"
228,"{'Temperature': 45.6, 'Humidity': 98.3, 'PM2.5': 28.0, 'PM10': 43.8, 'NO2': 32.1, 'SO2': 14.9, 'CO': 2.18, 'Proximity_to_Industrial_Areas': 3.2, 'Population_Density': 680.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.12881520458848641, 'CO > 0.62': 0.06593174933612618, 'Population_Density > 0.68': 0.056314035240000254, 'NO2 > 0.61': 0.04073712962221716, 'PM2.5 > 0.25': -0.040645136283638444}"
229,"{'Temperature': 30.0, 'Humidity': 66.1, 'PM2.5': 17.3, 'PM10': 25.3, 'NO2': 30.5, 'SO2': 6.0, 'CO': 1.55, 'Proximity_to_Industrial_Areas': 8.0, 'Population_Density': 482.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.02975920018442686, '-0.73 < SO2 <= -0.29': -0.011656922287368431, '-0.75 < Population_Density <= -0.02': -0.010949090555197348, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.00870691771066303, '-0.15 < Temperature <= 0.61': -0.005147442333173426}"
230,"{'Temperature': 23.1, 'Humidity': 67.0, 'PM2.5': 2.3000000000000007, 'PM10': 8.100000000000001, 'NO2': 18.7, 'SO2': 7.7, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 543.0}",Good,Good,"{'PM10 <= -0.65': -0.04124940345042331, '-0.73 < SO2 <= -0.29': -0.02043458710471516, '-0.86 < CO <= -0.17': -0.019902842939023262, 'PM2.5 <= -0.63': 0.01622065959067397, 'Temperature <= -0.73': -0.015511934372350974}"
231,"{'Temperature': 23.6, 'Humidity': 49.7, 'PM2.5': 10.3, 'PM10': 14.0, 'NO2': 17.9, 'SO2': 5.5, 'CO': 0.87, 'Proximity_to_Industrial_Areas': 10.9, 'Population_Density': 595.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03733755322749893, 'CO <= -0.86': -0.0320088394901853, 'Humidity <= -0.74': -0.025266565986128656, 'NO2 <= -0.71': -0.018184574886092934, 'Temperature <= -0.73': -0.016659862708802212}"
232,"{'Temperature': 27.6, 'Humidity': 53.6, 'PM2.5': 7.1, 'PM10': 10.399999999999999, 'NO2': 28.4, 'SO2': 4.5, 'CO': 0.87, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 591.0}",Good,Good,"{'PM10 <= -0.65': -0.03720945739534171, 'CO <= -0.86': -0.03287544664368278, 'Humidity <= -0.74': -0.026770649914838792, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.017917578349270546, 'SO2 <= -0.73': -0.014049666533827172}"
233,"{'Temperature': 18.5, 'Humidity': 57.3, 'PM2.5': 7.699999999999999, 'PM10': 11.100000000000001, 'NO2': 22.8, 'SO2': 4.7, 'CO': 1.1, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 600.0}",Good,Good,"{'PM10 <= -0.65': -0.03981268299766788, 'Humidity <= -0.74': -0.02365389760365243, '-0.86 < CO <= -0.17': -0.022741643901158654, 'SO2 <= -0.73': -0.02257498727861394, 'Temperature <= -0.73': -0.013622859340733002}"
234,"{'Temperature': 25.5, 'Humidity': 66.7, 'PM2.5': 45.1, 'PM10': 51.2, 'NO2': 18.8, 'SO2': 3.7, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.4, 'Population_Density': 574.0}",Good,Good,"{'PM10 > 0.30': 0.0982149287878954, 'PM2.5 > 0.25': -0.031094578386180186, 'CO <= -0.86': -0.0287583208874872, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.021103180627431533, 'SO2 <= -0.73': -0.017210093506644774}"
235,"{'Temperature': 23.4, 'Humidity': 54.7, 'PM2.5': 10.2, 'PM10': 12.8, 'NO2': 11.4, 'SO2': 4.5, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 10.9, 'Population_Density': 362.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03634326700001699, 'Population_Density <= -0.75': -0.029898115875218553, 'Humidity <= -0.74': -0.024078800084203947, 'SO2 <= -0.73': -0.021651685879351765, 'Temperature <= -0.73': -0.021165728045101223}"
236,"{'Temperature': 39.0, 'Humidity': 76.1, 'PM2.5': 9.4, 'PM10': 22.0, 'NO2': 37.0, 'SO2': 14.4, 'CO': 2.45, 'Proximity_to_Industrial_Areas': 6.2, 'Population_Density': 533.0}",Hazardous,Poor,"{'CO > 0.62': 0.06285910723300066, '-0.31 < PM10 <= 0.30': -0.0381125434651099, 'SO2 > 0.55': 0.033394497049603254, 'NO2 > 0.61': 0.030204326564117322, 'Temperature > 0.61': 0.018416010695475927}"
237,"{'Temperature': 25.2, 'Humidity': 66.5, 'PM2.5': 20.7, 'PM10': 25.0, 'NO2': 24.3, 'SO2': 4.0, 'CO': 0.88, 'Proximity_to_Industrial_Areas': 14.2, 'Population_Density': 297.0}",Good,Good,"{'Population_Density <= -0.75': -0.032757806367587995, '-0.31 < PM10 <= 0.30': -0.03222973387330353, 'CO <= -0.86': -0.03132779840784958, 'SO2 <= -0.73': -0.018032870496083736, '-0.71 < NO2 <= -0.14': -0.012648871411516167}"
238,"{'Temperature': 43.7, 'Humidity': 89.5, 'PM2.5': 5.300000000000001, 'PM10': 18.6, 'NO2': 36.3, 'SO2': 7.7, 'CO': 1.83, 'Proximity_to_Industrial_Areas': 4.0, 'Population_Density': 656.0}",Poor,Poor,"{'Population_Density > 0.68': 0.05613900188090422, '-0.65 < PM10 <= -0.31': -0.04402672780894136, 'Proximity_to_Industrial_Areas <= -0.84': 0.03241277814929222, 'Temperature > 0.61': 0.032080024457201005, 'NO2 > 0.61': 0.029059637908193065}"
239,"{'Temperature': 33.9, 'Humidity': 94.5, 'PM2.5': 16.6, 'PM10': 42.2, 'NO2': 41.7, 'SO2': 18.5, 'CO': 2.4, 'Proximity_to_Industrial_Areas': 8.1, 'Population_Density': 421.0}",Poor,Poor,"{'PM10 > 0.30': 0.1196351872853746, 'CO > 0.62': 0.06462118697421168, 'NO2 > 0.61': 0.03726350296285756, 'SO2 > 0.55': 0.027819684555571267, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.02265483426580353}"
240,"{'Temperature': 30.2, 'Humidity': 63.7, 'PM2.5': 16.6, 'PM10': 29.7, 'NO2': 30.1, 'SO2': 15.1, 'CO': 1.75, 'Proximity_to_Industrial_Areas': 6.0, 'Population_Density': 297.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.036165343865290765, '-0.31 < PM10 <= 0.30': -0.031583491864708525, 'SO2 > 0.55': 0.03070735661289605, '-0.14 < NO2 <= 0.61': -0.010755703023907798, '-0.74 < Humidity <= -0.01': -0.009652634951777156}"
241,"{'Temperature': 22.8, 'Humidity': 76.0, 'PM2.5': 12.3, 'PM10': 22.0, 'NO2': 27.1, 'SO2': 12.2, 'CO': 1.54, 'Proximity_to_Industrial_Areas': 12.1, 'Population_Density': 577.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.029857398464238797, 'Temperature <= -0.73': -0.016793494625141347, '-0.02 < Population_Density <= 0.68': 0.008600918632343734, '-0.14 < NO2 <= 0.61': -0.007535692545769483, '-0.33 < PM2.5 <= 0.25': -0.005746866350151386}"
242,"{'Temperature': 21.9, 'Humidity': 69.6, 'PM2.5': 7.1, 'PM10': 9.600000000000001, 'NO2': 24.7, 'SO2': 2.6000000000000005, 'CO': 1.11, 'Proximity_to_Industrial_Areas': 12.7, 'Population_Density': 423.0}",Good,Good,"{'PM10 <= -0.65': -0.03951618004384959, '-0.86 < CO <= -0.17': -0.02042012708424333, 'Temperature <= -0.73': -0.020097985285768484, '-0.75 < Population_Density <= -0.02': -0.015911703337229195, 'SO2 <= -0.73': -0.01273002884067562}"
243,"{'Temperature': 28.7, 'Humidity': 78.9, 'PM2.5': 26.8, 'PM10': 38.0, 'NO2': 36.2, 'SO2': 6.2, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 484.0}",Moderate,Moderate,"{'PM2.5 > 0.25': -0.032980096292910904, '-0.31 < PM10 <= 0.30': -0.03181280049310681, 'NO2 > 0.61': 0.03176254234272904, 'Proximity_to_Industrial_Areas <= -0.84': 0.025937930719223755, '-0.75 < Population_Density <= -0.02': -0.022788060951050626}"
244,"{'Temperature': 47.0, 'Humidity': 95.3, 'PM2.5': 3.0, 'PM10': 23.4, 'NO2': 36.3, 'SO2': 24.4, 'CO': 2.4, 'Proximity_to_Industrial_Areas': 3.4000000000000004, 'Population_Density': 582.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.07285914993244695, 'NO2 > 0.61': 0.04212938289124903, 'Temperature > 0.61': 0.03684617348005464, 'Proximity_to_Industrial_Areas <= -0.84': 0.034776835153480845, 'Humidity > 0.65': 0.030948825453562482}"
245,"{'Temperature': 27.4, 'Humidity': 76.3, 'PM2.5': 10.4, 'PM10': 14.100000000000001, 'NO2': 10.3, 'SO2': 5.4, 'CO': 0.91, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 328.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03836965881042612, 'Population_Density <= -0.75': -0.03665488260763526, 'CO <= -0.86': -0.02237005469765417, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.016609362332279175, 'NO2 <= -0.71': -0.015613499718650671}"
246,"{'Temperature': 26.6, 'Humidity': 56.6, 'PM2.5': 6.9, 'PM10': 16.4, 'NO2': 25.5, 'SO2': 6.4, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 5.7, 'Population_Density': 327.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03601137005357038, 'Population_Density <= -0.75': -0.03426082897927563, 'Humidity <= -0.74': -0.026109558331329396, '-0.63 < PM2.5 <= -0.33': 0.021588202229803982, '-0.86 < CO <= -0.17': -0.01468244440504422}"
247,"{'Temperature': 28.4, 'Humidity': 75.9, 'PM2.5': 17.2, 'PM10': 27.6, 'NO2': 15.5, 'SO2': 7.1, 'CO': 1.15, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 338.0}",Good,Good,"{'Population_Density <= -0.75': -0.034291732841815706, '-0.31 < PM10 <= 0.30': -0.03277328056135147, '-0.86 < CO <= -0.17': -0.022946968888257598, 'NO2 <= -0.71': -0.01222457460826777, '-0.73 < Temperature <= -0.15': -0.010999244016853043}"
248,"{'Temperature': 28.9, 'Humidity': 49.8, 'PM2.5': 0.3000000000000007, 'PM10': 1.5000000000000036, 'NO2': 20.5, 'SO2': 8.5, 'CO': 1.13, 'Proximity_to_Industrial_Areas': 11.4, 'Population_Density': 485.0}",Good,Good,"{'PM10 <= -0.65': -0.040798693634852654, 'PM2.5 <= -0.63': 0.033407518764793226, 'Humidity <= -0.74': -0.027479403476973453, '-0.86 < CO <= -0.17': -0.02121111392828215, 'Proximity_to_Industrial_Areas > 0.74': -0.015885751581241475}"
249,"{'Temperature': 24.6, 'Humidity': 53.5, 'PM2.5': 0.10000000000000142, 'PM10': 4.100000000000001, 'NO2': 14.999999999999998, 'SO2': 6.2, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 11.8, 'Population_Density': 380.0}",Good,Good,"{'PM10 <= -0.65': -0.04145498642281417, 'Population_Density <= -0.75': -0.03345401123870921, 'Humidity <= -0.74': -0.029126972162741523, 'PM2.5 <= -0.63': 0.026481428485874054, '-0.86 < CO <= -0.17': -0.021810594132276644}"
250,"{'Temperature': 25.3, 'Humidity': 59.4, 'PM2.5': 5.199999999999999, 'PM10': 10.7, 'NO2': 22.1, 'SO2': 3.5999999999999996, 'CO': 1.08, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 317.0}",Good,Good,"{'PM10 <= -0.65': -0.040728037385407416, 'Population_Density <= -0.75': -0.033084509612536256, '-0.86 < CO <= -0.17': -0.02055958588641684, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014836899746970724, 'SO2 <= -0.73': -0.014076581800568349}"
251,"{'Temperature': 29.7, 'Humidity': 55.6, 'PM2.5': 28.0, 'PM10': 45.2, 'NO2': 24.5, 'SO2': 7.9, 'CO': 1.25, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 471.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.10652058938337682, 'PM2.5 > 0.25': -0.03510290248718687, 'Humidity <= -0.74': -0.03194954623363701, '-0.86 < CO <= -0.17': -0.022293115905489234, '-0.75 < Population_Density <= -0.02': -0.019614958607753363}"
252,"{'Temperature': 29.9, 'Humidity': 67.5, 'PM2.5': 1.6000000000000014, 'PM10': 8.5, 'NO2': 30.0, 'SO2': 12.8, 'CO': 1.45, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 615.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04930805836613986, 'PM10 <= -0.65': -0.04765237895317514, 'Proximity_to_Industrial_Areas <= -0.84': 0.03235757095241063, 'PM2.5 <= -0.63': 0.019789797191135442, '-0.74 < Humidity <= -0.01': -0.010462863790270454}"
253,"{'Temperature': 28.9, 'Humidity': 65.5, 'PM2.5': 1.1999999999999993, 'PM10': 4.699999999999999, 'NO2': 24.0, 'SO2': 3.7, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 10.6, 'Population_Density': 534.0}",Good,Good,"{'PM10 <= -0.65': -0.03880238011741054, 'CO <= -0.86': -0.025225828765933947, 'SO2 <= -0.73': -0.020648026468984282, 'PM2.5 <= -0.63': 0.01629343514187946, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014524708452091934}"
254,"{'Temperature': 34.3, 'Humidity': 102.4, 'PM2.5': 38.8, 'PM10': 58.4, 'NO2': 40.4, 'SO2': 12.8, 'CO': 2.09, 'Proximity_to_Industrial_Areas': 2.7, 'Population_Density': 811.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.13484813821740796, 'CO > 0.62': 0.07391716533688983, 'Population_Density > 0.68': 0.06661138269624627, 'PM2.5 > 0.25': -0.0456463653688173, 'Proximity_to_Industrial_Areas <= -0.84': 0.0406247153877093}"
255,"{'Temperature': 39.1, 'Humidity': 59.5, 'PM2.5': 47.60000000000001, 'PM10': 57.2, 'NO2': 30.6, 'SO2': 16.8, 'CO': 1.89, 'Proximity_to_Industrial_Areas': 3.8, 'Population_Density': 450.0}",Poor,Poor,"{'PM10 > 0.30': 0.12451819939407148, 'CO > 0.62': 0.05758596274763452, 'PM2.5 > 0.25': -0.044964565997465025, 'Proximity_to_Industrial_Areas <= -0.84': 0.03836624449014987, 'Temperature > 0.61': 0.02866521127957262}"
256,"{'Temperature': 24.7, 'Humidity': 83.6, 'PM2.5': 64.0, 'PM10': 84.5, 'NO2': 47.3, 'SO2': 12.1, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 4.2, 'Population_Density': 630.0}",Poor,Poor,"{'PM10 > 0.30': 0.11666383323978967, 'Population_Density > 0.68': 0.059570062010646796, 'PM2.5 > 0.25': -0.04160922551503643, 'NO2 > 0.61': 0.035454541749684126, 'Proximity_to_Industrial_Areas <= -0.84': 0.030717247781418138}"
257,"{'Temperature': 25.3, 'Humidity': 40.1, 'PM2.5': 3.8000000000000007, 'PM10': 12.3, 'NO2': 15.800000000000002, 'SO2': 3.9000000000000004, 'CO': 0.99, 'Proximity_to_Industrial_Areas': 12.2, 'Population_Density': 375.0}",Good,Good,"{'PM10 <= -0.65': -0.04039066425523995, 'Population_Density <= -0.75': -0.0375369520285684, 'CO <= -0.86': -0.03332714817589202, 'Humidity <= -0.74': -0.030032917352442266, 'PM2.5 <= -0.63': 0.018520197891160516}"
258,"{'Temperature': 31.6, 'Humidity': 54.6, 'PM2.5': 1.0, 'PM10': 7.699999999999999, 'NO2': 18.8, 'SO2': 3.2, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 208.0}",Good,Good,"{'PM10 <= -0.65': -0.03821559784101231, 'Population_Density <= -0.75': -0.035030822149725124, 'Humidity <= -0.74': -0.02356300198002108, '-0.86 < CO <= -0.17': -0.022011416303817085, 'SO2 <= -0.73': -0.019573085035986027}"
259,"{'Temperature': 39.2, 'Humidity': 73.7, 'PM2.5': 23.5, 'PM10': 44.1, 'NO2': 43.7, 'SO2': 15.4, 'CO': 2.49, 'Proximity_to_Industrial_Areas': 3.0, 'Population_Density': 787.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.1206699501826432, 'CO > 0.62': 0.06837611340187055, 'Population_Density > 0.68': 0.05129449650331516, 'Proximity_to_Industrial_Areas <= -0.84': 0.03743694382439031, 'NO2 > 0.61': 0.0335210191183882}"
260,"{'Temperature': 30.2, 'Humidity': 86.5, 'PM2.5': 6.199999999999999, 'PM10': 20.8, 'NO2': 35.9, 'SO2': 18.1, 'CO': 2.03, 'Proximity_to_Industrial_Areas': 4.8, 'Population_Density': 420.0}",Poor,Poor,"{'CO > 0.62': 0.04731160136264321, '-0.65 < PM10 <= -0.31': -0.04184832139854367, 'Proximity_to_Industrial_Areas <= -0.84': 0.03665008089310703, 'NO2 > 0.61': 0.03393554957603079, 'Humidity > 0.65': 0.033528599229105636}"
261,"{'Temperature': 24.7, 'Humidity': 55.9, 'PM2.5': 18.5, 'PM10': 23.2, 'NO2': 18.6, 'SO2': 2.7, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 365.0}",Good,Good,"{'Population_Density <= -0.75': -0.03580125224242005, '-0.31 < PM10 <= 0.30': -0.030534572921468984, 'CO <= -0.86': -0.027896014961401653, 'Humidity <= -0.74': -0.027033454579978494, 'SO2 <= -0.73': -0.017471401802567503}"
262,"{'Temperature': 31.6, 'Humidity': 61.9, 'PM2.5': 46.900000000000006, 'PM10': 46.9, 'NO2': 17.9, 'SO2': 4.0, 'CO': 1.46, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 339.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11597637588101033, 'Population_Density <= -0.75': -0.04088429251828591, 'PM2.5 > 0.25': -0.03404738941771017, 'Proximity_to_Industrial_Areas <= -0.84': 0.033513126323367545, 'SO2 <= -0.73': -0.02065521541526647}"
